ds,unique_id,y,cutoff,mean,random_walk,window_average,auto_arima,prophet
2022-09-12,123100C,1.6094379124341003,2022-09-05,3.0378909369228873,1.6094379124341003,2.8395936762804075,2.8365945860266804,3.0704565804090427
2022-09-19,123100C,3.332204510175204,2022-09-05,3.0378909369228873,1.6094379124341003,2.8395936762804075,2.894016307327048,3.1010935219792017
2022-09-26,123100C,3.4657359027997265,2022-09-05,3.0378909369228873,1.6094379124341003,2.8395936762804075,2.93510443545294,3.110069576133353
2022-10-03,123100C,2.70805020110221,2022-09-05,3.0378909369228873,1.6094379124341003,2.8395936762804075,2.964505056588254,3.0835061035862457
2022-10-10,123100C,2.995732273553991,2022-09-05,3.0378909369228873,1.6094379124341003,2.8395936762804075,2.985542678951916,3.044578777588761
2022-10-17,123100C,1.9459101490553132,2022-09-05,3.0378909369228873,1.6094379124341003,2.8395936762804075,3.000596155294444,3.031669086905996
2022-10-24,123100C,2.9444389791664403,2022-09-05,3.0378909369228873,1.6094379124341003,2.8395936762804075,3.011367674341503,3.0545917120139845
2022-10-31,123100C,3.367295829986474,2022-09-05,3.0378909369228873,1.6094379124341003,2.8395936762804075,3.0190752376937224,3.0821204639292867
2022-11-07,123100C,3.1354942159291497,2022-10-31,3.028219328237339,3.367295829986474,2.8133443079405547,3.1206264398029484,3.077425922621972
2022-11-14,123100C,1.9459101490553132,2022-10-31,3.028219328237339,3.367295829986474,2.8133443079405547,3.0546932689347535,3.047510170063008
2022-11-21,123100C,3.332204510175204,2022-10-31,3.028219328237339,3.367295829986474,2.8133443079405547,3.0370697485721325,3.0263944167536265
2022-11-28,123100C,3.1780538303479458,2022-10-31,3.028219328237339,3.367295829986474,2.8133443079405547,3.0323590928296293,3.043080791856621
2022-12-05,123100C,2.70805020110221,2022-10-31,3.028219328237339,3.367295829986474,2.8133443079405547,3.0310999642861947,3.068213624189548
2022-12-12,123100C,2.9444389791664403,2022-10-31,3.028219328237339,3.367295829986474,2.8133443079405547,3.030763407174923,3.045994313391159
2022-12-19,123100C,3.5263605246161616,2022-10-31,3.028219328237339,3.367295829986474,2.8133443079405547,3.0306734475836343,2.9672252299961395
2022-12-26,123100C,3.1780538303479458,2022-10-31,3.028219328237339,3.367295829986474,2.8133443079405547,3.0306494019527626,2.893755604086355
2022-05-23,123100F,3.9512437185814275,2022-05-16,4.102597232080927,3.6375861597263857,3.882956868142944,3.909928823818607,4.064374850407487
2022-05-30,123100F,4.07753744390572,2022-05-16,4.102597232080927,3.6375861597263857,3.882956868142944,3.967138861939976,4.1019201106977645
2022-06-06,123100F,4.51085950651685,2022-05-16,4.102597232080927,3.6375861597263857,3.882956868142944,4.007121930273739,4.165419571145009
2022-06-13,123100F,4.477336814478207,2022-05-16,4.102597232080927,3.6375861597263857,3.882956868142944,4.035065378764209,4.200502034436598
2022-06-20,123100F,3.6109179126442243,2022-05-16,4.102597232080927,3.6375861597263857,3.882956868142944,4.054594553139258,4.192396148469195
2022-06-27,123100F,4.430816798843313,2022-05-16,4.102597232080927,3.6375861597263857,3.882956868142944,4.068243142428484,4.1797012652488625
2022-07-04,123100F,3.970291913552122,2022-05-16,4.102597232080927,3.6375861597263857,3.882956868142944,4.077781896397724,4.198141890097053
2022-07-11,123100F,4.04305126783455,2022-05-16,4.102597232080927,3.6375861597263857,3.882956868142944,4.08444836026132,4.230085577501787
2022-07-18,123100F,5.14166355650266,2022-07-11,4.103962870774998,4.04305126783455,4.013769473218552,4.079985581758856,4.22478159140741
2022-07-25,123100F,4.0943445622221,2022-07-11,4.103962870774998,4.04305126783455,4.013769473218552,4.08737852101148,4.1668988220430805
2022-08-01,123100F,4.1588830833596715,2022-07-11,4.103962870774998,4.04305126783455,4.013769473218552,4.09251854155563,4.08933251024803
2022-08-08,123100F,3.367295829986474,2022-07-11,4.103962870774998,4.04305126783455,4.013769473218552,4.096092196132178,4.049463837313277
2022-08-15,123100F,3.4965075614664802,2022-07-11,4.103962870774998,4.04305126783455,4.013769473218552,4.098576817919734,4.062494419025128
2022-08-22,123100F,3.828641396489095,2022-07-11,4.103962870774998,4.04305126783455,4.013769473218552,4.100304277945589,4.1010926509343415
2022-08-29,123100F,4.356708826689592,2022-07-11,4.103962870774998,4.04305126783455,4.013769473218552,4.1015053131115335,4.141805005435418
2022-09-05,123100F,3.1354942159291497,2022-07-11,4.103962870774998,4.04305126783455,4.013769473218552,4.102340345730665,4.187083647668639
2022-09-12,123100F,3.367295829986474,2022-09-05,4.097441183621068,3.1354942159291497,3.7043380001435793,3.7859942678686864,4.205570717974215
2022-09-19,123100F,3.8501476017100584,2022-09-05,4.097441183621068,3.1354942159291497,3.7043380001435793,3.964813656240187,4.23905873893722
2022-09-26,123100F,3.828641396489095,2022-09-05,4.097441183621068,3.1354942159291497,3.7043380001435793,3.9272636858885583,4.215685232211043
2022-10-03,123100F,4.0943445622221,2022-09-05,4.097441183621068,3.1354942159291497,3.7043380001435793,3.9996485438385276,4.144799947081818
2022-10-10,123100F,3.5263605246161616,2022-09-05,4.097441183621068,3.1354942159291497,3.7043380001435793,4.039345699519063,4.099608958664641
2022-10-17,123100F,3.6375861597263857,2022-09-05,4.097441183621068,3.1354942159291497,3.7043380001435793,4.0521873587068535,4.139745005283921
2022-10-24,123100F,4.110873864173311,2022-09-05,4.097441183621068,3.1354942159291497,3.7043380001435793,4.066794784051217,4.231387421127035
2022-10-31,123100F,3.9512437185814275,2022-09-05,4.097441183621068,3.1354942159291497,3.7043380001435793,4.076550937319292,4.274183122765511
2022-11-07,123100F,3.332204510175204,2022-10-31,4.085376004563749,3.9512437185814275,3.8065160667743214,4.014307686406582,4.201196032751939
2022-11-14,123100F,3.6375861597263857,2022-10-31,4.085376004563749,3.9512437185814275,3.8065160667743214,4.03547858511695,4.117406010056362
2022-11-21,123100F,4.30406509320417,2022-10-31,4.085376004563749,3.9512437185814275,3.8065160667743214,4.050307112920299,4.097231579794803
2022-11-28,123100F,3.8501476017100584,2022-10-31,4.085376004563749,3.9512437185814275,3.8065160667743214,4.060693315217276,4.161995114405459
2022-12-05,123100F,4.04305126783455,2022-10-31,4.085376004563749,3.9512437185814275,3.8065160667743214,4.067968022429233,4.210438117397812
2022-12-12,123100F,4.248495242049359,2022-10-31,4.085376004563749,3.9512437185814275,3.8065160667743214,4.073063375235437,4.135578123394507
2022-12-19,123100F,4.51085950651685,2022-10-31,4.085376004563749,3.9512437185814275,3.8065160667743214,4.076632263915522,3.9633319709902874
2022-12-26,123100F,4.0943445622221,2022-10-31,4.085376004563749,3.9512437185814275,3.8065160667743214,4.079131986092824,3.842003873975946
2022-05-23,123103,0.0,2022-05-16,1.3347394212663646,0.6931471805599453,0.6931471805599454,1.2725489525391824,1.314756393015911
2022-05-30,123103,0.0,2022-05-16,1.3347394212663646,0.6931471805599453,0.6931471805599454,1.2665397674502867,1.3153571018723953
2022-06-06,123103,1.791759469228055,2022-05-16,1.3347394212663646,0.6931471805599453,0.6931471805599454,1.3377291894853722,1.314055301336098
2022-06-13,123103,0.0,2022-05-16,1.3347394212663646,0.6931471805599453,0.6931471805599454,1.3259355258160372,1.3115026876153937
2022-06-20,123103,0.0,2022-05-16,1.3347394212663646,0.6931471805599453,0.6931471805599454,1.3364007021699,1.3106197996891686
2022-06-27,123103,2.5649493574615367,2022-05-16,1.3347394212663646,0.6931471805599453,0.6931471805599454,1.3333440511416366,1.3136083388444546
2022-07-04,123103,1.6094379124341003,2022-05-16,1.3347394212663646,0.6931471805599453,0.6931471805599454,1.3350881042882603,1.3184278435332597
2022-07-11,123103,0.0,2022-05-16,1.3347394212663646,0.6931471805599453,0.6931471805599454,1.3344463904660846,1.3196863135172805
2022-07-18,123103,2.772588722239781,2022-07-11,1.3091319830543688,0.0,1.0435968174739092,1.2129093280749457,1.2865247941535634
2022-07-25,123103,0.6931471805599453,2022-07-11,1.3091319830543688,0.0,1.0435968174739092,0.9871300258416043,1.2790152927326304
2022-08-01,123103,0.6931471805599453,2022-07-11,1.3091319830543688,0.0,1.0435968174739092,1.029158141329743,1.2757084018846052
2022-08-08,123103,0.0,2022-07-11,1.3091319830543688,0.0,1.0435968174739092,1.0213347382364923,1.2790089675300818
2022-08-15,123103,0.0,2022-07-11,1.3091319830543688,0.0,1.0435968174739092,1.022791040410611,1.2849528888286668
2022-08-22,123103,1.3862943611198906,2022-07-11,1.3091319830543688,0.0,1.0435968174739092,1.0225199542864445,1.2874162087104613
2022-08-29,123103,1.3862943611198906,2022-07-11,1.3091319830543688,0.0,1.0435968174739092,1.0225704161260418,1.2847843576534084
2022-09-05,123103,0.0,2022-07-11,1.3091319830543688,0.0,1.0435968174739092,1.022561022811414,1.2814671458446285
2022-09-12,123103,1.3862943611198906,2022-09-05,1.290686232747934,0.0,0.6931471805599453,1.1834753556707487,1.2691245644011597
2022-09-19,123103,2.1972245773362196,2022-09-05,1.290686232747934,0.0,0.6931471805599453,0.8368205891838554,1.275040857750055
2022-09-26,123103,0.0,2022-09-05,1.290686232747934,0.0,0.6931471805599453,1.021106089584608,1.2800927783821
2022-10-03,123103,0.0,2022-09-05,1.290686232747934,0.0,0.6931471805599453,0.9578910351050478,1.2789011305875013
2022-10-10,123103,0.0,2022-09-05,1.290686232747934,0.0,0.6931471805599453,0.961370487186122,1.2736590965695143
2022-10-17,123103,1.6094379124341003,2022-09-05,1.290686232747934,0.0,0.6931471805599453,0.957655259178245,1.2713714870017518
2022-10-24,123103,1.3862943611198906,2022-09-05,1.290686232747934,0.0,0.6931471805599453,0.9520183579942882,1.2753154309091872
2022-10-31,123103,0.0,2022-09-05,1.290686232747934,0.0,0.6931471805599453,0.9507241613748882,1.281182292764488
2022-11-07,123103,1.9459101490553132,2022-10-31,1.271955039498067,0.0,0.7489330683884978,1.0759844488693735,1.2613984909643376
2022-11-14,123103,0.6931471805599453,2022-10-31,1.271955039498067,0.0,0.7489330683884978,0.8780484148065106,1.2576647738381492
2022-11-21,123103,0.0,2022-10-31,1.271955039498067,0.0,0.7489330683884978,0.9144603477314736,1.254744975352322
2022-11-28,123103,1.6094379124341003,2022-10-31,1.271955039498067,0.0,0.7489330683884978,0.9077620784365006,1.2558842702641464
2022-12-05,123103,1.791759469228055,2022-10-31,1.271955039498067,0.0,0.7489330683884978,0.9089942791999271,1.2588134080423667
2022-12-12,123103,0.0,2022-10-31,1.271955039498067,0.0,0.7489330683884978,0.9087676059124664,1.25908137676571
2022-12-19,123103,0.6931471805599453,2022-10-31,1.271955039498067,0.0,0.7489330683884978,0.9088093042953707,1.2560532466473322
2022-12-26,123103,1.3862943611198906,2022-10-31,1.271955039498067,0.0,0.7489330683884978,0.9088016335408838,1.253917056072489
2022-05-23,123125C,0.6931471805599453,2022-05-16,3.0065268901277973,3.1354942159291497,2.927361435290999,3.0351537312822203,2.9930881609750872
2022-05-30,123125C,3.1780538303479458,2022-05-16,3.0065268901277973,3.1354942159291497,2.927361435290999,3.030318280028937,3.0042267037001356
2022-06-06,123125C,1.9459101490553132,2022-05-16,3.0065268901277973,3.1354942159291497,2.927361435290999,3.026723507353778,3.0303712931816835
2022-06-13,123125C,2.5649493574615367,2022-05-16,3.0065268901277973,3.1354942159291497,2.927361435290999,3.0240510803331784,3.043142810291375
2022-06-20,123125C,3.044522437723423,2022-05-16,3.0065268901277973,3.1354942159291497,2.927361435290999,3.0220643438060577,3.034393343806991
2022-06-27,123125C,2.8903717578961645,2022-05-16,3.0065268901277973,3.1354942159291497,2.927361435290999,3.020587363518937,3.0271925938171655
2022-07-04,123125C,2.1972245773362196,2022-05-16,3.0065268901277973,3.1354942159291497,2.927361435290999,3.019489346374356,3.0427043086288643
2022-07-11,123125C,3.4965075614664802,2022-05-16,3.0065268901277973,3.1354942159291497,2.927361435290999,3.018673058127108,3.067668129699607
2022-07-18,123125C,3.9512437185814275,2022-07-11,2.984562062577931,3.4965075614664802,2.9071565836055715,3.018386859002136,3.0467750664870623
2022-07-25,123125C,3.044522437723423,2022-07-11,2.984562062577931,3.4965075614664802,2.9071565836055715,3.012761952458149,3.0132318291510054
2022-08-01,123125C,2.302585092994046,2022-07-11,2.984562062577931,3.4965075614664802,2.9071565836055715,3.008465883788393,2.9693954993945884
2022-08-08,123125C,2.8903717578961645,2022-07-11,2.984562062577931,3.4965075614664802,2.9071565836055715,3.0051847259823155,2.9597723869413137
2022-08-15,123125C,2.3978952727983707,2022-07-11,2.984562062577931,3.4965075614664802,2.9071565836055715,3.0026787147017755,2.9939270327841014
2022-08-22,123125C,2.9444389791664403,2022-07-11,2.984562062577931,3.4965075614664802,2.9071565836055715,3.000764727960095,3.0371246015049413
2022-08-29,123125C,3.7376696182833684,2022-07-11,2.984562062577931,3.4965075614664802,2.9071565836055715,2.999302904832731,3.0515349787456
2022-09-05,123125C,2.772588722239781,2022-07-11,2.984562062577931,3.4965075614664802,2.9071565836055715,2.9981864253874138,3.036422058206256
2022-09-12,123125C,3.4011973816621555,2022-09-05,2.985420495385533,2.772588722239781,2.96314814812199,3.004905722299162,3.022035653654112
2022-09-19,123125C,3.367295829986474,2022-09-05,2.985420495385533,2.772588722239781,2.96314814812199,3.0022728246125614,3.0226162203908027
2022-09-26,123125C,2.70805020110221,2022-09-05,2.985420495385533,2.772588722239781,2.96314814812199,3.000288768858247,3.0346128148965423
2022-10-03,123125C,3.295836866004329,2022-09-05,2.985420495385533,2.772588722239781,2.96314814812199,2.9987936567404234,3.0334217648058748
2022-10-10,123125C,2.70805020110221,2022-09-05,2.985420495385533,2.772588722239781,2.96314814812199,2.997666994730042,3.019238981231861
2022-10-17,123125C,2.70805020110221,2022-09-05,2.985420495385533,2.772588722239781,2.96314814812199,2.9968179832943758,3.01506588594188
2022-10-24,123125C,2.8903717578961645,2022-09-05,2.985420495385533,2.772588722239781,2.96314814812199,2.9961781992142784,3.0307130080989837
2022-10-31,123125C,2.995732273553991,2022-09-05,2.985420495385533,2.772588722239781,2.96314814812199,2.995696081245131,3.045397150604792
2022-11-07,123125C,2.70805020110221,2022-10-31,2.9863765991321607,2.995732273553991,2.8255511084136438,2.9583525487210216,3.0362338463239347
2022-11-14,123125C,2.1972245773362196,2022-10-31,2.9863765991321607,2.995732273553991,2.8255511084136438,2.967067206039627,3.0104051674762946
2022-11-21,123125C,3.295836866004329,2022-10-31,2.9863765991321607,2.995732273553991,2.8255511084136438,2.973634588430808,3.0024829679765506
2022-11-28,123125C,2.1972245773362196,2022-10-31,2.9863765991321607,2.995732273553991,2.8255511084136438,2.9785837803376336,3.0259291638236947
2022-12-05,123125C,0.0,2022-10-31,2.9863765991321607,2.995732273553991,2.8255511084136438,2.9823135008063972,3.0468852027064766
2022-12-12,123125C,3.332204510175204,2022-10-31,2.9863765991321607,2.995732273553991,2.8255511084136438,2.9851242252715227,3.0214786957274415
2022-12-19,123125C,3.4657359027997265,2022-10-31,2.9863765991321607,2.995732273553991,2.8255511084136438,2.987242392593985,2.953975951474541
2022-12-26,123125C,1.791759469228055,2022-10-31,2.9863765991321607,2.995732273553991,2.8255511084136438,2.9888386475316766,2.902046617439637
2022-05-23,123125F,2.302585092994046,2022-05-16,3.0269655251779457,3.1354942159291497,2.980869403031737,3.0897547659689852,2.984314550640662
2022-05-30,123125F,3.2188758248682006,2022-05-16,3.0269655251779457,3.1354942159291497,2.980869403031737,3.0749089567801824,3.006742356057492
2022-06-06,123125F,1.791759469228055,2022-05-16,3.0269655251779457,3.1354942159291497,2.980869403031737,3.0599091488427446,3.047311482187756
2022-06-13,123125F,2.6390573296152584,2022-05-16,3.0269655251779457,3.1354942159291497,2.980869403031737,3.0517360460438674,3.0682646694589213
2022-06-20,123125F,2.995732273553991,2022-05-16,3.0269655251779457,3.1354942159291497,2.980869403031737,3.045744431254444,3.0588426542021097
