,id,model,rmse,mae,wape_m
294,03450102,IMAPA,92,79.7,25.2
295,03450102,WindowAverage,96,81.3,26.2
296,03453420OR,AutoARIMA,5,4.6,44.5
297,03453420OR,AutoETS,5,4.2,54.2
298,03453420OR,DynamicOptimizedTheta,5,4.1,53.5
299,03453420OR,AutoTheta,5,4.1,53.6
300,03453420OR,ADIDA,5,4.1,53.5
301,03453420OR,CrostonClassic,5,4.1,53.7
302,03453420OR,IMAPA,5,4.1,53.5
303,03453420OR,WindowAverage,5,4.3,50.8
304,03463430LV,AutoARIMA,3,3.0,37.2
305,03463430LV,AutoETS,4,3.0,51.0
306,03463430LV,DynamicOptimizedTheta,3,2.8,47.2
307,03463430LV,AutoTheta,3,2.8,48.7
308,03463430LV,ADIDA,3,2.8,47.2
309,03463430LV,CrostonClassic,3,2.9,52.0
310,03463430LV,IMAPA,3,2.8,47.2
311,03463430LV,WindowAverage,3,2.8,33.4
312,03463701,AutoARIMA,4,3.3,29.8
313,03463701,AutoETS,3,2.8,30.9
314,03463701,DynamicOptimizedTheta,3,2.7,28.3
315,03463701,AutoTheta,3,2.7,28.4
316,03463701,ADIDA,3,2.7,27.8
317,03463701,CrostonClassic,3,2.7,28.3
318,03463701,IMAPA,3,2.7,27.8
319,03463701,WindowAverage,3,2.7,29.7
320,03463702,AutoARIMA,4,2.7,32.7
321,03463702,AutoETS,4,2.7,34.3
322,03463702,DynamicOptimizedTheta,4,2.7,32.6
323,03463702,AutoTheta,4,2.7,32.4
324,03463702,ADIDA,4,2.7,32.3
325,03463702,CrostonClassic,4,2.7,32.6
326,03463702,IMAPA,4,2.7,32.3
327,03463702,WindowAverage,4,2.9,41.8
328,03463706,AutoARIMA,36,29.3,37.2
329,03463706,AutoETS,25,21.8,27.7
330,03463706,DynamicOptimizedTheta,24,20.2,23.0
331,03463706,AutoTheta,24,20.0,22.0
332,03463706,ADIDA,24,20.2,23.0
333,03463706,CrostonClassic,24,20.2,23.0
334,03463706,IMAPA,24,20.2,23.0
335,03463706,WindowAverage,27,22.0,30.4
336,03463707,AutoARIMA,17,13.4,32.5
337,03463707,AutoETS,16,12.6,30.7
338,03463707,DynamicOptimizedTheta,17,12.7,36.6
339,03463707,AutoTheta,17,12.8,36.6
340,03463707,ADIDA,17,12.7,36.6
341,03463707,CrostonClassic,17,12.7,36.6
342,03463707,IMAPA,17,12.7,36.6
343,03463707,WindowAverage,16,12.6,38.6
344,03463901,AutoARIMA,7,5.7,64.5
345,03463901,AutoETS,5,4.4,66.6
346,03463901,DynamicOptimizedTheta,5,4.3,58.9
347,03463901,AutoTheta,5,4.3,58.1
348,03463901,ADIDA,5,4.4,59.0
349,03463901,CrostonClassic,5,4.3,58.1
350,03463901,IMAPA,5,4.4,59.0
351,03463901,WindowAverage,5,4.4,67.2
352,03944401,AutoARIMA,2,1.8,56.8
353,03944401,AutoETS,2,1.7,22.1
