,id,model,rmse,mae,wape_m
271,06210301,random_walk,12,10.5,108.2
272,06210301,window_average,7,5.1,32.6
273,06210301,auto_arima,7,5.9,41.0
274,06210301,prophet,8,6.9,54.5
275,06210302,mean,4,3.8,153.8
276,06210302,random_walk,4,3.5,110.6
277,06210302,window_average,3,2.5,49.0
278,06210302,auto_arima,3,2.4,52.8
279,06210302,prophet,5,4.1,164.0
280,06212001,mean,3,2.4,218.8
281,06212001,random_walk,3,2.7,225.3
282,06212001,window_average,3,2.5,193.9
283,06212001,auto_arima,2,2.1,135.4
284,06212001,prophet,3,2.5,223.5
285,06212001NM,mean,2,1.8,21.4
286,06212001NM,random_walk,4,3.6,70.4
287,06212001NM,window_average,3,3.0,49.1
288,06212001NM,auto_arima,3,2.1,24.7
289,06212001NM,prophet,2,1.9,17.4
290,06217402,mean,2,1.7,105.8
291,06217402,random_walk,3,2.2,112.0
292,06217402,window_average,2,1.1,43.4
293,06217402,auto_arima,2,1.6,93.0
294,06217402,prophet,2,1.8,108.3
295,06217702,mean,3,2.1,192.7
296,06217702,random_walk,4,3.8,260.7
297,06217702,window_average,3,1.8,92.9
298,06217702,auto_arima,2,1.9,146.4
299,06217702,prophet,3,2.2,114.3
300,06218002,mean,4,3.2,39.6
301,06218002,random_walk,5,4.6,102.1
302,06218002,window_average,4,3.2,34.7
303,06218002,auto_arima,4,3.2,32.4
304,06218002,prophet,4,3.3,44.5
305,06218080,mean,3,2.8,43.5
306,06218080,random_walk,5,4.4,109.4
307,06218080,window_average,4,2.7,47.1
308,06218080,auto_arima,3,2.3,30.0
309,06218080,prophet,3,2.8,43.9
310,06220301,mean,3,2.5,51.5
311,06220301,random_walk,3,2.3,43.6
312,06220301,window_average,3,2.2,37.3
313,06220301,auto_arima,3,2.6,55.0
314,06220301,prophet,3,2.5,50.6
315,06220601,mean,3,2.4,64.7
316,06220601,random_walk,3,2.6,76.0
317,06220601,window_average,3,2.6,65.2
318,06220601,auto_arima,3,2.3,43.2
319,06220601,prophet,3,2.4,63.1
320,06243201,mean,3,2.3,25.8
321,06243201,random_walk,4,3.3,103.8
322,06243201,window_average,3,2.2,35.7
323,06243201,auto_arima,3,2.3,23.2
324,06243201,prophet,3,2.3,25.0
325,06248702,mean,2,1.9,44.8
326,06248702,random_walk,3,2.5,79.4
327,06248702,window_average,2,1.9,48.1
328,06248702,auto_arima,2,1.9,44.8
